G1	G5	1
G9	G10	0.99
G8	G6	0.98
G4	G7	0.97
G1	G7	0.96
G6	G2	0.95
G4	G3	0.94
G1	G2	0.93
G7	G4	0.92
G9	G3	0.91
G5	G1	0.9
G1	G3	0.89
G4	G9	0.88
G1	G4	0.87
G10	G4	0.86
G3	G4	0.85
G4	G1	0.84
G5	G8	0.83
G3	G6	0.82
G8	G2	0.81
G9	G7	0.8
G9	G4	0.79
G6	G10	0.78
G3	G8	0.77
G5	G10	0.76
G2	G10	0.75
G1	G9	0.74
G6	G8	0.73
G7	G3	0.72
G6	G1	0.71
G3	G7	0.7
G7	G9	0.69
G1	G6	0.68
G8	G1	0.67
G1	G8	0.66
G10	G1	0.65
G9	G1	0.64
G9	G8	0.63
G6	G7	0.62
G3	G5	0.61
G4	G8	0.6
G7	G5	0.59
G7	G10	0.58
G8	G9	0.57
G10	G7	0.56
G7	G8	0.55
G6	G3	0.54
G10	G6	0.53
G2	G6	0.52
G6	G5	0.51
G2	G5	0.5
G4	G5	0.490000000000000
G8	G3	0.48
G2	G3	0.47
G5	G4	0.460000000000000
G5	G6	0.450000000000000
G1	G10	0.440000000000000
G7	G2	0.43
G3	G10	0.419999999999999
G4	G10	0.409999999999999
G7	G1	0.399999999999999
G2	G7	0.389999999999999
G4	G6	0.379999999999999
G6	G9	0.369999999999999
G9	G5	0.359999999999999
G2	G1	0.349999999999999
G10	G8	0.339999999999999
G2	G9	0.329999999999999
G8	G4	0.319999999999999
G5	G9	0.309999999999999
G2	G8	0.299999999999999
G2	G4	0.289999999999999
G5	G3	0.279999999999999
G10	G2	0.269999999999999
G3	G2	0.259999999999999
G4	G2	0.249999999999999
G5	G2	0.239999999999999
G10	G3	0.229999999999999
G3	G1	0.219999999999999
G8	G5	0.209999999999999
G10	G9	0.199999999999999
G5	G7	0.189999999999999
G3	G9	0.179999999999999
G9	G6	0.169999999999999
G7	G6	0.159999999999999
G6	G4	0.149999999999999
G10	G5	0.139999999999999
G8	G7	0.0599999999999993
G8	G10	0.0399999999999993
G9	G2	0.0299999999999992
